,region,hemisphere,CN,MCI,AD,AD-CN,feature
450,G_rectus,Right,0.31866500682817,0.505191649263593,0.268246781883375,-0.050418224944795,sulcal_depth
451,S_orbital_lateral,Left,-0.288740330173681,-0.117317675093716,-0.49151799914423,-0.202777668970549,sulcal_depth
452,G_cingul-Post-dorsal,Left,0.0572454333235216,0.199030811572636,0.0148500016753973,-0.0423954316481243,sulcal_depth
453,G_and_S_cingul-Mid-Ant,Left,-0.111167245460485,-0.0124318610506491,-0.231539106781254,-0.120371861320769,sulcal_depth
454,G_front_inf-Orbital,Right,-0.216406783650777,0.0543656399590067,-0.475867373330556,-0.259460589679779,sulcal_depth
455,G_temporal_inf,Left,0.264041745437751,0.378458587152337,0.186653230648011,-0.0773885147897397,sulcal_depth
456,Pole_occipital,Right,0.124041557135023,0.286486047125649,0.0176285077953498,-0.106413049339673,sulcal_depth
457,S_central,Right,-0.203275614024658,0.0839865488801459,-0.333983182534162,-0.130707568509504,sulcal_depth
458,G_temp_sup-G_T_transv,Left,-0.142244269501496,0.0911864974320617,-0.307918606268091,-0.165674336766594,sulcal_depth
459,S_orbital_med-olfact,Right,-0.00866036896884568,0.109403224780211,-0.0889050874542195,-0.0802447184853738,sulcal_depth
460,G_oc-temp_med-Lingual,Left,0.1253913582015,0.394367343888652,0.0949924732582547,-0.0303988849432457,sulcal_depth
461,S_oc_sup_and_transversal,Right,-0.176000479631499,0.060655672666568,-0.29291051125721,-0.116910031625711,sulcal_depth
462,S_calcarine,Right,-0.30969755179358,-0.0322366079223992,-0.383669545473396,-0.0739719936798154,sulcal_depth
463,S_front_middle,Right,-0.307928599031377,-0.154090137430268,-0.407359081731241,-0.0994304826998637,sulcal_depth
464,S_parieto_occipital,Left,0.177254320835266,0.3133579979926,0.0382810732354056,-0.13897324759986,sulcal_depth
465,G_and_S_cingul-Mid-Post,Right,-0.214747078032012,-0.0519898587310308,-0.412644615683957,-0.197897537651945,sulcal_depth
466,G_front_inf-Opercular,Left,-0.114911936741405,0.142579898539784,-0.385236606029775,-0.270324669288369,sulcal_depth
467,S_front_inf,Left,-0.25110727583696,-0.0478576429420578,-0.486430623615467,-0.235323347778507,sulcal_depth
468,G_occipital_middle,Left,0.148519674858943,0.354099825003453,0.00818485882393482,-0.140334816035008,sulcal_depth
469,G_and_S_subcentral,Right,-0.0682686404285657,0.178214918221934,-0.261784053026503,-0.193515412597938,sulcal_depth
470,G_subcallosal,Left,0.283024763355164,0.483295075429993,0.145504372457991,-0.137520390897173,sulcal_depth
471,Lat_Fis-post,Right,-0.540955298403592,-0.268723372299246,-0.385723716413655,0.155231581989937,sulcal_depth
472,S_circular_insula_ant,Right,-0.33968503630371,-0.0430156532510252,-0.509576682140195,-0.169891645836485,sulcal_depth
473,S_circular_insula_inf,Right,-0.350258482453814,-0.100496026604848,-0.525755563173129,-0.175497080719315,sulcal_depth
474,G_and_S_occipital_inf,Right,0.107089487471462,0.297231991314175,-0.145657645431969,-0.252747132903431,sulcal_depth
