region,hemisphere,CN,MCI,AD,AD-CN,MCI-CN
G_precuneus,Left,-0.403584893,0.064367373,0.7994832552793064,1.2030681487306314,0.4679522668130758
Pole_temporal,Right,-1.54011681,-0.836382131,0.695306877,2.2354236871526787,0.7037346793481724
S_front_sup,Left,0.062396776,0.364803219,1.083917555732959,1.0215207799672763,0.30240644342208717
G_parietal_sup,Left,0.4020787101181162,0.7661697116694002,0.9765167315335794,0.5744380214154632,0.364091002
G_temporal_inf,Left,-1.276895778,-0.839782109,0.8555959668349471,2.1324917446755736,0.4371136691402543
G_pariet_inf-Supramar,Left,-0.233375423,0.25406436384190795,0.8966662545514019,1.130041677200764,0.48743978649127007
G_temp_sup-Plan_polar,Left,-0.588724782,0.065170824,1.0742389036027051,1.6629636855212158,0.6538956059263105
S_front_middle,Right,1.2447842305158356,2.0117337101120594,1.6999815654935961,0.4551973349777605,0.7669494795962237
G_cingul-Post-dorsal,Right,-0.468507116,0.19637928356849235,1.0945158925678098,1.563023008,0.6648863994204726
G_postcentral,Right,2.5681715875407565,3.5627425757340503,2.7863232014615757,0.21815161392081928,0.9945709881932938
G_temporal_middle,Right,-1.363826717,-0.8301491,0.8363271684059175,2.200153885574446,0.5336776171078298
S_oc_middle_and_Lunatus,Left,-0.212796641,0.36391535106878486,0.9175736410102521,1.130370281774605,0.5767119918331378
S_oc-temp_med_and_Lingual,Right,-1.868713045,-1.366521163,0.00960585,1.8783188949445146,0.5021918813780326
G_occipital_sup,Left,2.2112944525194704,2.8492036752896963,2.494747677441498,0.2834532249220274,0.6379092227702259
G_front_middle,Right,0.8538612488215271,1.5998404339490093,1.4423245412848114,0.5884632924632842,0.7459791851274822
S_postcentral,Right,1.6848689235359149,2.4030356655904264,2.3768242641452497,0.6919553406093348,0.7181667420545115
S_oc-temp_lat,Right,-2.287818245,-1.950375531,0.056814063,2.344632307462183,0.33744271322539343
G_insular_short,Left,0.8445511264273391,1.6151138373169243,1.485312531,0.640761405,0.7705627108895852
S_occipital_ant,Left,-0.486766403,0.081376526,0.9355773294379441,1.4223437319577705,0.5681429285251464
G_and_S_transv_frontopol,Right,0.2747225774102215,0.8501161477287482,0.8416064843219638,0.5668839069117424,0.5753935703185267
G_front_inf-Triangul,Left,0.46202185095177695,0.7913939336502801,1.525480627373847,1.063458776,0.32937208269850315
S_circular_insula_ant,Left,-1.353678246,-0.855444682,0.1973971090370153,1.551075355524108,0.49823356447176936
G_front_sup,Right,-0.374830804,0.14672390239497357,0.5355269399371405,0.910357744,0.521554706
S_temporal_sup,Left,-0.201767838,0.36417176122902967,1.246823972982341,1.448591811393599,0.5659395996402878
G_pariet_inf-Angular,Left,1.619279425596224,2.1777413170307045,2.397017150192098,0.7777377245958739,0.5584618914344806
S_temporal_inf,Right,-1.990338898,-1.459866024,0.3611209504354482,2.3514598481764883,0.530472874
G_temp_sup-Plan_tempo,Left,0.4276078769748281,0.9183055176694721,1.4420189072266991,1.014411030251871,0.490697641
S_interm_prim-Jensen,Right,0.27168170338087666,0.7083539440531854,1.4551220238757394,1.1834403204948627,0.43667224067230875
Lat_Fis-ant-Horizont,Left,0.8372583949551845,1.2941857555885752,1.7418925982728737,0.9046342033176892,0.4569273606333907
G_precuneus,Right,1.8080850103590136,2.550611228510013,1.9904044294565246,0.18231941909751104,0.7425262181509995
S_front_inf,Left,0.4663052906743494,0.8575687614110705,1.3856546533387275,0.9193493626643781,0.39126347073672113
S_precentral-inf-part,Right,0.9793125621204235,1.6162250565602037,1.760881373744986,0.7815688116245625,0.6369124944397802
S_front_sup,Right,-0.131639531,0.4065268294361508,0.812091785,0.9437313161022092,0.538166361
G_parietal_sup,Right,1.138602844661677,1.7196251080321194,1.6275205676427091,0.4889177229810322,0.5810222633704425
G_temporal_inf,Right,-2.634391359,-2.040896943,-0.044333823,2.590057535,0.5934944152789408
G_front_inf-Opercular,Left,0.7947300167923451,1.2449978651796978,1.7639641730970077,0.9692341563046626,0.4502678483873527
S_collat_transv_ant,Left,0.43361980605753353,1.278651079031785,2.2651167752475723,1.8314969691900387,0.8450312729742515
S_parieto_occipital,Left,0.5984812576179935,1.231183684650304,1.9219572043944373,1.3234759467764436,0.6327024270323104
G_pariet_inf-Supramar,Right,0.34547366350144254,0.8953001349083161,1.623820600195034,1.2783469366935913,0.5498264714068735
G_temp_sup-Plan_polar,Right,-1.069256181,-0.313141695,0.811696642,1.8809528233974695,0.7561144862132707
G_and_S_cingul-Mid-Ant,Left,-0.89648495,-0.3330833,0.4023321269443274,1.298817076996572,0.5634016497718803
G_oc-temp_med-Parahip,Right,-1.844525443,-0.992486226,0.1821439919645545,2.0266694347469842,0.8520392169063338
S_pericallosal,Left,0.5503718134254676,1.254386571741885,1.7648100004634861,1.2144381870380185,0.7040147583164174
G_occipital_sup,Right,2.0745406105208435,2.7373918136773474,2.6860570189040303,0.6115164083831868,0.6628512031565039
S_oc_middle_and_Lunatus,Right,-1.129401331,-0.728358877,0.4835370364808121,1.6129383676183435,0.40104245432090246
S_circular_insula_inf,Left,1.325176551859581,1.871128153607024,2.1546591582407593,0.8294826063811782,0.5459516017474428
S_orbital_med-olfact,Left,-1.568329028,-1.133614051,0.1588880102052702,1.7272170380821255,0.4347149771137031
