,region,hemisphere,F (CN),M (CN),F-M (CN)
72,G_and_S_paracentral,Right,0.46005396733768095,1.0601256887303319,-0.600071721392651
73,G_and_S_subcentral,Right,-0.2343176797987831,0.42640757005785584,-0.6607252498566389
74,S_temporal_sup,Left,-0.4509109091427142,0.13323746584577192,-0.5841483749884862
75,S_orbital_med-olfact,Left,-1.8502730688681917,-1.2304023116280183,-0.6198707572401734
76,G_pariet_inf-Angular,Left,1.3585036477502244,2.016174803817346,-0.6576711560671216
77,G_temp_sup-Plan_tempo,Right,-0.11881528025088915,0.5536282257273254,-0.6724435059782146
78,G_and_S_cingul-Mid-Ant,Left,-1.3099232863777568,-0.4125262811893343,-0.8973970051884225
79,Lat_Fis-ant-Horizont,Left,0.5562927710474356,1.2674973220538754,-0.7112045510064399
80,G_and_S_transv_frontopol,Right,-0.05365760850560052,0.630342277886704,-0.6839998863923046
81,G_rectus,Left,-1.4762146164774606,-1.1424319611290903,-0.33378265534837026
82,S_collat_transv_ant,Right,-2.1847927592232517,-1.586137543324052,-0.5986552158991996
83,S_subparietal,Left,-2.272268517895266,-1.9201646827079397,-0.35210383518732646
84,G_front_middle,Right,0.5454048623056673,1.2288263740742242,-0.6834215117685569
85,S_orbital_lateral,Left,-0.18476328851352278,0.4167921585638776,-0.6015554470774004
86,S_temporal_transverse,Left,-0.9494691740065668,-0.3718298043200128,-0.577639369686554
87,S_cingul-Marginalis,Left,-0.057751644174562286,0.6427606914301787,-0.7005123356047409
88,G_occipital_sup,Right,1.790688134943112,2.4498341793636076,-0.6591460444204955
89,S_calcarine,Left,-0.1662530816841715,0.29505945864464866,-0.4613125403288202
90,S_circular_insula_sup,Right,0.47490239496768544,1.2298161471311932,-0.7549137521635079
91,G_front_sup,Right,-0.7671934424248117,0.09249262266264194,-0.8596860650874536
92,S_oc-temp_lat,Right,-2.5256859288519933,-1.9463716664791864,-0.5793142623728069
93,G_and_S_cingul-Ant,Right,0.043649754831568084,0.7965821890224176,-0.7529324341908495
94,S_occipital_ant,Right,-1.3079727283188962,-0.5453180276051832,-0.762654700713713
95,G_oc-temp_lat-fusifor,Right,-2.777514777950182,-2.0734483183855152,-0.7040664595646668
96,G_pariet_inf-Supramar,Right,0.0887702740096706,0.6724317135556632,-0.5836614395459926
97,S_precentral-inf-part,Left,-0.9619122449500311,-0.10161537236937455,-0.8602968725806566
98,G_occipital_middle,Left,0.4898425873245332,0.8556705175137123,-0.3658279301891791
99,S_precentral-sup-part,Left,-0.257995966165632,0.7581107538824553,-1.0161067200480873
100,G_cingul-Post-ventral,Right,-0.738479426101969,-0.2297944739993489,-0.5086849521026201
101,S_central,Right,0.8791710565093867,1.6599119025897198,-0.7807408460803331
102,G_temp_sup-Plan_polar,Right,-1.126506412860169,-0.9515658145073727,-0.1749405983527963
103,S_temporal_inf,Left,-1.6876158595265431,-1.3118332219928217,-0.37578263753372143
104,G_Ins_lg_and_S_cent_ins,Right,-1.1990771157926472,-0.5668035065107825,-0.6322736092818647
105,G_cingul-Post-dorsal,Right,-0.7490252328068201,-0.10910045303243145,-0.6399247797743887
106,G_and_S_paracentral,Left,-0.19439186290047905,0.4535404028335585,-0.6479322657340376
107,S_oc_sup_and_transversal,Right,0.02879597961748191,0.8015318230826565,-0.7727358434651745
108,G_and_S_subcentral,Left,-0.49317075741884886,0.28252447564714583,-0.7756952330659947
109,G_oc-temp_med-Parahip,Right,-2.0454139898736514,-1.5563483910856035,-0.4890655987880479
110,G_temp_sup-Plan_tempo,Left,0.2580758468800365,0.6982245807166461,-0.4401487338366096
111,S_postcentral,Right,1.2625295409625332,2.1993467238573534,-0.9368171828948202
112,S_oc_middle_and_Lunatus,Right,-1.3657740713953619,-0.8273836382233617,-0.5383904331720002
113,S_circular_insula_ant,Right,-0.8807019638499234,-0.07119881972917441,-0.809503144120749
114,G_and_S_cingul-Mid-Post,Right,-0.3660603564083032,0.44836372726220647,-0.8144240836705097
115,G_front_inf-Opercular,Right,0.9073694101450986,1.4202418201521916,-0.5128724100070929
116,S_parieto_occipital,Right,0.7193470584159365,1.5231216934470142,-0.8037746350310777
117,S_collat_transv_ant,Left,0.3138486274946097,0.6424807868883802,-0.3286321593937705
118,G_front_middle,Left,-0.26697375291842185,0.4268251629936972,-0.6937989159121191
119,G_occipital_sup,Left,2.016495730367032,2.508855736585886,-0.492360006218854
120,S_front_inf,Right,0.9726548479925353,1.7114865408795108,-0.7388316928869755
121,S_circular_insula_sup,Left,0.2090755675427128,1.0430750101497575,-0.8339994426070446
122,S_pericallosal,Right,0.03927262732665812,0.8921755164261195,-0.8529028890994613
123,G_subcallosal,Right,1.85703465931357,2.5339544412232167,-0.6769197819096466
124,G_temporal_inf,Right,-2.7249212778445826,-2.476790997849309,-0.24813027999527382
125,G_front_sup,Left,-0.624554125480172,0.19719193671883792,-0.8217460621990099
126,G_cuneus,Right,0.177645189192023,0.8641932942206078,-0.6865481050285848
127,G_oc-temp_lat-fusifor,Left,-0.715319420703945,-0.05161092792818522,-0.6637084927757598
128,S_occipital_ant,Left,-0.7335112024778764,-0.13312365503471618,-0.6003875474431601
129,G_and_S_frontomargin,Right,-0.2660375059972751,0.48658189122935386,-0.752619397226629
130,S_suborbital,Left,-1.267882606923912,-1.0017451893959586,-0.2661374175279534
131,G_precentral,Left,-0.5246752038237366,0.20669239123726738,-0.7313675950610039
132,G_temporal_middle,Left,-0.32698964339202546,0.07018828176200242,-0.3971779251540279
133,G_cingul-Post-ventral,Left,-0.15246201612271099,0.397451760117575,-0.5499137762402859
134,S_orbital-H_Shaped,Right,-1.0429541003393594,-0.21716029252305294,-0.8257938078163065
135,S_central,Left,-0.2671811054844317,0.5121737500682167,-0.7793548555526484
136,G_cingul-Post-dorsal,Left,-1.148314661589081,-0.5827270241459155,-0.5655876374431654
137,G_Ins_lg_and_S_cent_ins,Left,0.04396269555765218,0.7182202585237273,-0.6742575629660751
138,G_postcentral,Right,2.233337906701786,2.9898581637456476,-0.7565202570438618
139,S_front_sup,Right,-0.5814055597421661,0.4084512653785439,-0.98985682512071
140,Lat_Fis-ant-Vertical,Right,0.6321813852696722,1.048074257639336,-0.4158928723696639
141,S_oc_sup_and_transversal,Left,0.7197635846337122,1.3518740765127053,-0.6321104918789932
142,S_interm_prim-Jensen,Right,0.02133455655304429,0.6481566793091131,-0.6268221227560689
